layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
10,0.0263671875,0.0947265625,0.01904296875,0.18458251953124982,0.07568359375,0.00048828125,0.17677001953124982,3,87,64,49.0,87.0,0.01123046875,89.0,-0.00048828125,-0.02392578125,0.0234375,-0.011555989583333334,-0.03759765625,0.013183593749999997,0.011067708333333336,1.0,-0.0064516129032258064,-1.0325879765395893,0.7980303030303023
11,0.0166015625,0.04833984375,-0.0068359375,0.1005859375,0.08154296875,0.01513671875,0.15528564453124982,5,91,64,35.0,86.0,0.015625,89.0,0.00634765625,-0.017578125,0.03076171875,-0.023600260416666664,-0.048828125,0.00016276041666666782,0.029947916666666664,0.6358,0.07784431137724551,-0.4348779557589626,0.5194388270980781
12,0.0126953125,0.057373046875,0.0004821777343750021,0.12183227539062491,0.07958984375,0.0185546875,0.15919189453124982,5,86,64,94.0,66.0,0.00634765625,74.0,0.02880859375,-0.00048828125,0.06153564453124982,0.023518880208333336,-0.0023640950520833347,0.051595052083333336,0.005289713541666667,0.0776,0.3619631901840491,-0.014509222661396568,1.1000423728813553
13,0.025390625,0.085693359375,0.0107421875,0.1682189941406249,0.07861328125,0.00439453125,0.16749267578124982,4,101,64,54.0,86.0,0.01904296875,89.0,0.0244140625,-0.0126953125,0.0673828125,0.014648437499999997,-0.01904296875,0.051110839843749936,0.009765625,0.2476,0.3105590062111801,-0.47632275132275126,1.0
14,0.02587890625,0.034423828125,-0.029302978515624998,0.11474609375,0.0546875,-0.0146484375,0.1484375,3,110,64,41.0,98.0,0.013671875,89.0,-0.003173828125,-0.02587890625,0.02124633789062491,-0.006510416666666664,-0.04134114583333333,0.023274739583333336,0.0033365885416666644,0.8167,-0.05803571428571429,-1.6842927631578946,1.6626041666666653
15,0.04345703125,0.0263671875,-0.041015625,0.10791015625,0.01025390625,-0.05908203125,0.09620361328124982,5,73,64,42.0,67.0,0.009765625,73.0,-0.006591796875,-0.029541015625,0.016845703125,-0.015869140625,-0.046061197916666664,0.014078776041666668,0.009277343749999998,0.6021,-0.6428571428571429,-4.794264705882353,3.7506944444444343
16,0.009765625,0.03076171875,-0.02734375,0.09814453125,0.001220703125,-0.060797119140624994,0.06298828125,3,94,64,125.0,73.0,0.009765625,77.0,0.00537109375,-0.0146484375,0.02587890625,-0.0012207031250000013,-0.026529947916666664,0.0224609375,0.006591796874999998,0.6388,4.4,-3.600625,4.3342592592592455
17,0.02880859375,0.04541015625,-0.012219238281249996,0.10693359375,0.035400390625,-0.02685546875,0.10864868164062491,4,121,64,108.0,91.0,0.0263671875,98.0,0.04443359375,0.009765625,0.08497314453124982,0.02351888020833333,-0.011718750000000003,0.06005859374999999,0.02091471354166667,0.0182,1.2551724137931035,-8.527443609022557,12.750694444444434
18,-0.01708984375,0.026123046875,-0.03173828125,0.08837890625,0.017333984375,-0.04296875,0.080078125,3,82,64,51.0,64.0,0.00830078125,50.0,0.01025390625,-0.0029296875,0.0244140625,-0.0009765624999999952,-0.028808593749999997,0.02539469401041661,0.011230468749999997,0.1578,0.5915492957746479,-4.935,4.6676470588235155
19,-0.0126953125,0.009521484375,-0.062744140625,0.094970703125,0.0185546875,-0.0419921875,0.0927734375,3,88,64,57.0,88.0,0.0029296875,84.0,-0.002685546875,-0.027838134765624998,0.0224609375,-0.030924479166666668,-0.06559244791666666,0.0004882812499999976,0.028238932291666664,0.8504,-0.14473684210526316,-4.858630952380952,4.5
